id,classe_predita,confianca
390,OOD,0.9289
391,Coat,0.9942
392,OOD,0.5405
393,Sandal,0.9999
394,OOD,0.4219
395,OOD,0.6759
396,OOD,0.6193
397,Shirt,0.9848
398,Trouser,1.0
399,Pullover,0.9711
400,OOD,0.8678
401,OOD,0.9078
402,Sneaker,0.9981
403,OOD,0.9387
404,OOD,0.8067
405,Coat,0.9793
406,OOD,0.4022
407,OOD,0.5269
408,OOD,0.8837
409,Trouser,0.9989
410,OOD,0.3804
411,Shirt,0.9802
412,Sneaker,0.9976
413,OOD,0.3796
414,Ankle boot,0.9996
415,OOD,0.9395
416,Pullover,0.9956
417,Trouser,0.9996
418,Sandal,0.9901
419,OOD,0.9575
420,Sandal,0.9999
421,Dress,0.9849
422,Bag,0.9999
423,Sandal,1.0
424,Bag,1.0
425,OOD,0.8647
426,Coat,0.9745
427,Bag,1.0
428,OOD,0.8513
429,Bag,1.0
430,Shirt,0.9683
431,Pullover,0.9731
432,OOD,0.9473
433,Coat,0.9625
434,OOD,0.5661
435,OOD,0.9542
436,Trouser,0.9998
437,OOD,0.8999
438,Trouser,1.0
439,Dress,0.9979
440,OOD,0.9286
441,Sneaker,0.9763
442,Bag,1.0
443,Bag,0.9989
444,OOD,0.8948
445,Sandal,0.9656
446,Dress,0.9914
447,Trouser,1.0
448,OOD,0.7313
449,Sandal,0.989
450,Dress,0.9893
451,Dress,0.9692
452,OOD,0.5561
453,Trouser,1.0
454,OOD,0.533
455,OOD,0.9336
456,OOD,0.9265
457,OOD,0.7777
458,OOD,0.7955
459,OOD,0.801
460,OOD,0.4149
461,OOD,0.9599
462,Pullover,0.9882
463,T-shirt/top,0.9802
464,T-shirt/top,0.9799
465,OOD,0.9459
466,Dress,0.996
467,Bag,0.9995
468,OOD,0.9465
469,Bag,1.0
470,Ankle boot,0.9808
471,OOD,0.9481
472,T-shirt/top,0.9938
473,Sneaker,0.9724
474,OOD,0.5017
475,OOD,0.9331
476,OOD,0.3613
477,OOD,0.545
478,OOD,0.8584
479,Ankle boot,0.9962
480,OOD,0.7195
481,Ankle boot,0.9872
482,Dress,0.9974
483,Sneaker,0.982
484,Sandal,1.0
485,OOD,0.9312
486,Bag,0.9999
487,Trouser,1.0
488,OOD,0.6879
489,T-shirt/top,0.9961
490,OOD,0.6748
491,OOD,0.6697
492,Bag,0.9999
493,Ankle boot,0.9995
494,Sneaker,0.9967
495,Ankle boot,0.9936
496,Trouser,1.0
497,Pullover,0.9928
498,Sneaker,0.991
499,OOD,0.6916
500,OOD,0.8146
501,T-shirt/top,0.9773
502,OOD,0.916
503,Sneaker,0.9731
504,Trouser,1.0
505,Bag,1.0
506,Pullover,0.9663
507,Pullover,0.9624
508,Pullover,0.9805
509,Pullover,0.9976
510,OOD,0.8754
511,OOD,0.6974
512,OOD,0.5895
513,Trouser,1.0
514,Ankle boot,0.9655
515,Bag,0.9999
516,Sandal,1.0
517,Trouser,1.0
518,Ankle boot,0.9997
519,Trouser,1.0
520,OOD,0.9435
521,Bag,1.0
522,Dress,0.9938
523,Bag,0.9997
524,OOD,0.7463
525,OOD,0.9483
526,OOD,0.6036
527,OOD,0.8014
528,Bag,1.0
529,OOD,0.7195
530,OOD,0.9108
531,OOD,0.3701
532,Sandal,1.0
533,Bag,1.0
534,Bag,0.9999
535,Sandal,1.0
536,OOD,0.9527
537,Ankle boot,0.9997
538,Coat,0.9826
539,Dress,0.9977
540,OOD,0.9306
541,OOD,0.9106
542,OOD,0.8858
543,Trouser,1.0
544,OOD,0.7299
545,Trouser,1.0
546,OOD,0.708
547,OOD,0.7485
548,OOD,0.5978
549,Ankle boot,0.9967
550,Shirt,0.9947
551,Trouser,0.9999
552,OOD,0.7139
553,Trouser,0.9997
554,Trouser,0.9997
555,Trouser,1.0
556,Ankle boot,0.9988
557,Dress,0.995
558,OOD,0.7485
559,Sandal,0.9999
560,Dress,0.9856
561,OOD,0.6186
562,OOD,0.836
563,OOD,0.7838
564,Coat,0.9765
565,OOD,0.5317
566,T-shirt/top,0.9905
567,Sandal,0.9993
568,Bag,1.0
569,OOD,0.4821
570,OOD,0.8529
571,OOD,0.913
572,OOD,0.5212
573,OOD,0.9404
574,Sneaker,0.9994
575,Bag,1.0
576,Ankle boot,0.9995
577,OOD,0.4981
578,OOD,0.5227
579,Bag,0.9741
580,Sneaker,0.9962
581,OOD,0.8184
582,Sneaker,0.997
583,Ankle boot,0.9953
584,OOD,0.7601
585,OOD,0.7896
586,OOD,0.8829
587,OOD,0.5498
588,Sandal,1.0
589,OOD,0.6029
590,Trouser,0.9999
591,Trouser,1.0
592,Sandal,0.9999
593,Ankle boot,0.9947
594,OOD,0.6102
595,OOD,0.6261
596,OOD,0.9563
597,Sneaker,0.9978
598,Bag,1.0
599,Trouser,1.0
600,OOD,0.8596
601,Ankle boot,0.9988
602,OOD,0.6377
603,Sneaker,0.9959
604,Trouser,1.0
605,OOD,0.8933
606,Ankle boot,0.9987
607,OOD,0.4816
608,OOD,0.9455
609,OOD,0.9387
610,OOD,0.9516
611,Sneaker,0.9973
612,OOD,0.8683
613,Bag,1.0
614,Pullover,0.9947
615,Sneaker,0.9978
616,OOD,0.5945
617,Pullover,0.997
618,Dress,0.9833
619,Bag,0.9996
620,Pullover,0.9993
621,OOD,0.9236
622,OOD,0.7642
623,OOD,0.5715
624,OOD,0.9589
625,T-shirt/top,0.9905
626,Sneaker,0.9994
627,Bag,0.9999
628,OOD,0.5468
629,OOD,0.9448
630,OOD,0.8419
631,OOD,0.8896
632,OOD,0.7494
633,Shirt,0.9611
634,OOD,0.6756
635,OOD,0.6664
636,OOD,0.9312
637,OOD,0.8533
638,OOD,0.9439
639,OOD,0.749
640,Sneaker,0.9978
641,Sandal,0.9917
642,Bag,0.9998
643,Coat,0.968
644,Ankle boot,0.9996
645,Trouser,1.0
646,OOD,0.7883
647,Sandal,1.0
648,Coat,0.9949
649,Coat,0.9964
650,Coat,0.979
651,OOD,0.856
652,T-shirt/top,0.9865
653,Coat,0.9932
654,Sandal,0.9996
655,OOD,0.8033
656,OOD,0.9249
657,OOD,0.8143
658,Sandal,0.9953
659,OOD,0.9529
660,Trouser,1.0
661,OOD,0.2857
662,Trouser,1.0
663,Trouser,0.9984
664,OOD,0.8343
665,OOD,0.8527
666,Dress,0.9985
667,Bag,0.995
668,Pullover,0.9892
669,Bag,0.9999
670,OOD,0.4925
671,Sneaker,0.9884
672,T-shirt/top,0.9609
673,Coat,0.9628
674,OOD,0.5955
675,Bag,1.0
676,Sandal,0.9978
677,OOD,0.9145
678,Bag,1.0
679,Pullover,0.9911
680,OOD,0.9115
681,OOD,0.4513
682,Bag,1.0
683,OOD,0.5646
684,OOD,0.9182
685,OOD,0.7842
686,OOD,0.7512
687,Ankle boot,0.9979
688,OOD,0.7112
689,OOD,0.6668
690,Sandal,0.9999
691,OOD,0.941
692,Ankle boot,0.9944
693,Sandal,0.9992
694,Dress,0.9989
695,Shirt,0.9801
696,Shirt,0.9822
697,Bag,0.9996
698,Dress,0.9966
699,OOD,0.646
700,Bag,1.0
701,Trouser,0.9875
702,OOD,0.8757
703,OOD,0.9303
704,Ankle boot,0.9994
705,OOD,0.8533
706,OOD,0.9345
707,OOD,0.9258
708,Bag,0.9999
709,Ankle boot,0.9799
710,Trouser,1.0
711,OOD,0.4611
712,Sneaker,0.9987
713,Dress,0.9891
714,T-shirt/top,0.9718
715,OOD,0.4847
716,OOD,0.7331
717,Sneaker,0.9823
718,Trouser,1.0
719,OOD,0.8103
720,OOD,0.8556
721,Bag,1.0
722,Sneaker,0.9982
723,Pullover,0.9966
724,OOD,0.9477
725,OOD,0.9293
726,OOD,0.7038
727,Coat,0.9791
728,Trouser,1.0
729,Sandal,0.9993
730,Ankle boot,0.9965
731,OOD,0.92
732,OOD,0.8981
733,Trouser,0.9966
734,Shirt,0.9925
735,Sandal,1.0
736,OOD,0.5653
737,OOD,0.4332
738,OOD,0.834
739,Dress,0.9953
740,Dress,0.997
741,Bag,0.9963
742,Trouser,0.9999
743,Trouser,0.9843
744,Bag,0.9996
745,Sandal,1.0
746,Sneaker,0.9956
747,OOD,0.8388
748,Bag,1.0
749,Sneaker,0.9977
750,OOD,0.874
751,OOD,0.4993
752,Sneaker,0.9986
753,OOD,0.6514
754,Bag,0.999
755,T-shirt/top,0.9948
756,Ankle boot,0.9983
757,Sneaker,0.9996
758,OOD,0.9154
759,Trouser,1.0
760,OOD,0.6603
761,OOD,0.9157
762,OOD,0.7807
763,Bag,0.9988
764,OOD,0.6567
765,OOD,0.629
766,Dress,0.9997
767,OOD,0.9371
768,OOD,0.9464
769,OOD,0.9413
770,T-shirt/top,0.9769
771,Bag,1.0
772,Ankle boot,0.9979
773,Pullover,0.9944
774,Coat,0.9675
775,Sandal,1.0
776,Ankle boot,0.9981
777,Trouser,1.0
778,OOD,0.9375
779,Coat,0.9869
780,Ankle boot,0.9996
781,Pullover,0.9768
782,Trouser,0.9994
783,Sneaker,0.9979
784,Ankle boot,0.9913
785,Sandal,0.9992
786,Bag,1.0
787,Dress,0.976
788,Sneaker,0.9741
789,Sneaker,0.9991
790,Trouser,0.9998
791,Trouser,1.0
792,Trouser,1.0
793,OOD,0.7849
794,OOD,0.881
795,Sandal,0.993
796,Dress,0.9882
797,Bag,1.0
798,OOD,0.9303
799,OOD,0.6023
800,OOD,0.7167
801,OOD,0.4713
802,Bag,0.9999
803,Dress,0.9801
804,OOD,0.9454
805,OOD,0.8863
806,Coat,0.9668
807,Sneaker,0.9879
808,Trouser,1.0
809,OOD,0.9327
810,Ankle boot,0.9993
811,Dress,0.9627
812,Sandal,1.0
813,Bag,1.0
814,Sandal,0.9987
815,OOD,0.8969
816,Sneaker,0.9877
817,OOD,0.6945
818,Bag,0.9997
819,Sandal,0.9996
820,Ankle boot,0.9955
821,Dress,0.9691
822,Dress,0.9991
823,OOD,0.7892
824,Sneaker,0.9841
825,Trouser,1.0
826,Sneaker,0.9912
827,OOD,0.9578
828,OOD,0.871
829,Coat,0.9652
830,OOD,0.7985
831,Sandal,0.9728
832,Bag,0.9956
833,Dress,0.9974
834,OOD,0.5452
835,Trouser,1.0
836,Pullover,0.9618
837,OOD,0.69
838,Trouser,1.0
839,Ankle boot,0.9997
840,Bag,1.0
841,Pullover,0.9911
842,Sneaker,0.9924
843,Trouser,1.0
844,Dress,0.9961
845,Sneaker,0.9997
846,OOD,0.86
847,Ankle boot,0.9803
848,Ankle boot,0.9939
849,Trouser,0.9974
850,Bag,1.0
851,OOD,0.7402
852,Sandal,0.9996
853,Sneaker,0.9987
854,Trouser,1.0
855,OOD,0.9464
856,Bag,0.996
857,Trouser,1.0
858,OOD,0.801
859,OOD,0.7529
860,OOD,0.484
861,Trouser,1.0
862,Sneaker,0.9984
863,Trouser,1.0
864,Trouser,0.9999
865,Sandal,0.9993
866,Sneaker,0.997
867,Trouser,1.0
868,Sandal,1.0
869,Pullover,0.9809
870,OOD,0.7376
871,Dress,0.993
872,Dress,0.9732
873,Trouser,1.0
874,Trouser,1.0
875,OOD,0.9045
876,Ankle boot,0.9994
877,OOD,0.8806
878,OOD,0.9466
879,Sneaker,0.9932
880,Sneaker,0.9991
881,OOD,0.6205
882,Bag,1.0
883,Ankle boot,0.9954
884,Ankle boot,0.9978
885,OOD,0.928
886,Trouser,1.0
887,OOD,0.9368
888,OOD,0.5266
889,OOD,0.9583
890,OOD,0.5158
891,Sandal,1.0
892,OOD,0.9
893,OOD,0.7327
894,OOD,0.7117
895,Sandal,0.9999
896,Sandal,0.997
897,Trouser,1.0
898,OOD,0.5777
899,Sneaker,0.9961
900,Bag,1.0
901,Sneaker,0.9993
902,OOD,0.949
903,Dress,0.9775
904,Shirt,0.9779
905,OOD,0.7589
906,OOD,0.925
907,Coat,0.9699
908,OOD,0.9506
909,OOD,0.8052
910,OOD,0.6785
911,Pullover,0.9785
912,Sandal,1.0
913,Sandal,1.0
914,Trouser,1.0
915,Pullover,0.9987
916,OOD,0.8427
917,Ankle boot,0.9978
918,Dress,0.9856
919,Sneaker,0.9994
920,Bag,0.9932
921,OOD,0.8728
922,Bag,1.0
923,Dress,0.9908
924,OOD,0.8835
925,Sneaker,0.986
926,OOD,0.6128
927,OOD,0.5738
928,OOD,0.9121
929,Bag,0.9998
930,OOD,0.4413
931,Dress,0.972
932,OOD,0.9354
933,OOD,0.9162
934,Dress,0.9977
935,OOD,0.8042
936,Ankle boot,0.9995
937,OOD,0.5942
938,OOD,0.7025
939,OOD,0.6205
940,Ankle boot,0.9988
941,Trouser,1.0
942,Bag,1.0
943,Trouser,1.0
944,Sneaker,0.9924
945,Sandal,0.9972
946,Sandal,0.9774
947,Shirt,0.9794
948,OOD,0.5189
949,Pullover,0.9909
950,Trouser,1.0
951,OOD,0.9311
952,Sandal,0.9999
953,OOD,0.8787
954,OOD,0.8729
955,OOD,0.9395
956,OOD,0.5352
957,Sneaker,0.998
958,OOD,0.786
959,OOD,0.9575
960,OOD,0.3272
961,Sandal,1.0
962,Ankle boot,0.9989
963,OOD,0.5139
964,Bag,0.9987
965,OOD,0.599
966,OOD,0.5923
967,OOD,0.7484
968,OOD,0.7042
969,Pullover,0.9845
970,OOD,0.9306
971,OOD,0.8
972,Sneaker,0.9806
973,Sneaker,0.9959
974,Trouser,1.0
975,OOD,0.7929
976,OOD,0.705
977,OOD,0.6317
978,Sandal,0.98
979,T-shirt/top,0.9682
980,Ankle boot,0.9932
981,Ankle boot,0.9796
982,Bag,1.0
983,Bag,0.9999
984,OOD,0.8129
985,OOD,0.7712
986,OOD,0.8108
987,Coat,0.9756
988,Shirt,0.9961
989,Shirt,0.9898
990,Dress,0.9988
991,Pullover,0.9752
992,Dress,0.9893
993,OOD,0.6617
994,OOD,0.7164
995,OOD,0.8598
996,OOD,0.9534
997,OOD,0.5759
998,Sneaker,0.998
999,Sneaker,0.9981
1000,OOD,0.9333
1001,OOD,0.9532
1002,OOD,0.689
1003,OOD,0.3969
1004,OOD,0.8942
1005,OOD,0.7773
1006,Sandal,0.9961
1007,OOD,0.7422
1008,OOD,0.9513
1009,Sandal,0.9979
1010,OOD,0.6347
1011,Sandal,0.9903
1012,OOD,0.9521
1013,OOD,0.9416
1014,OOD,0.8574
1015,Sandal,1.0
1016,OOD,0.9001
1017,Sandal,0.9609
1018,Sandal,1.0
1019,OOD,0.6691
1020,Sandal,0.9893
1021,OOD,0.9537
1022,OOD,0.8789
1023,Sandal,0.9978
1024,OOD,0.7645
1025,OOD,0.7859
1026,OOD,0.8949
1027,OOD,0.5328
1028,OOD,0.6676
1029,Dress,0.9613
1030,OOD,0.8655
1031,OOD,0.7312
1032,Sandal,0.9946
1033,OOD,0.7571
1034,Sandal,0.9736
1035,Sandal,0.9994
1036,OOD,0.8504
1037,OOD,0.761
1038,Sandal,0.9967
1039,OOD,0.6964
1040,OOD,0.4838
1041,OOD,0.8594
1042,OOD,0.2818
1043,Sandal,0.9954
1044,OOD,0.9067
1045,Sandal,0.9973
1046,Dress,0.9646
1047,OOD,0.9455
1048,OOD,0.2647
1049,OOD,0.2808
1050,Sandal,0.9945
1051,Sandal,0.9958
1052,Sandal,0.9999
1053,Sandal,0.9987
1054,Sandal,0.9976
1055,OOD,0.8899
1056,OOD,0.6219
1057,OOD,0.5666
1058,Sandal,0.9949
1059,Sandal,0.9962
1060,OOD,0.8155
1061,Sandal,0.9989
1062,OOD,0.7277
1063,Sandal,1.0
1064,Sandal,0.9842
1065,OOD,0.6028
1066,OOD,0.7459
1067,Sandal,0.9825
1068,OOD,0.8237
1069,Sandal,0.9953
1070,Sandal,0.989
1071,OOD,0.3876
1072,Sandal,0.9848
1073,OOD,0.6084
1074,OOD,0.597
1075,Sandal,0.9992
1076,Sandal,0.9992
1077,Sandal,0.9954
1078,OOD,0.9341
1079,OOD,0.3104
1080,OOD,0.7324
1081,OOD,0.9258
1082,OOD,0.37
1083,OOD,0.5557
1084,Sandal,1.0
1085,OOD,0.7164
1086,OOD,0.498
1087,Sandal,0.9996
1088,OOD,0.9416
1089,OOD,0.8599
1090,Sandal,0.9919
1091,Sandal,0.9907
1092,Sandal,0.9996
1093,OOD,0.7738
1094,Dress,0.9618
1095,OOD,0.7998
1096,OOD,0.9315
1097,OOD,0.9453
1098,Sandal,0.9605
1099,OOD,0.664
1100,OOD,0.713
1101,Sandal,0.9823
1102,Sandal,1.0
1103,OOD,0.3949
1104,Sandal,0.9718
1105,OOD,0.8622
1106,Sandal,0.991
1107,OOD,0.6209
1108,OOD,0.4987
1109,OOD,0.8873
1110,OOD,0.9457
1111,OOD,0.9428
1112,Sandal,0.9957
1113,OOD,0.5951
1114,OOD,0.8066
1115,OOD,0.9487
1116,OOD,0.7598
1117,OOD,0.6111
1118,OOD,0.947
1119,OOD,0.2714
1120,OOD,0.8587
1121,Sandal,0.9999
1122,OOD,0.4218
1123,OOD,0.9513
1124,Sandal,0.9832
1125,OOD,0.832
1126,Sandal,0.9989
1127,Sandal,0.9983
1128,OOD,0.9408
1129,Sandal,1.0
1130,OOD,0.5445
1131,OOD,0.5974
1132,OOD,0.9256
1133,OOD,0.6418
1134,Sandal,0.9998
1135,OOD,0.7984
1136,OOD,0.5406
1137,OOD,0.7857
1138,OOD,0.9447
1139,Sandal,0.9998
1140,OOD,0.9522
1141,OOD,0.5704
1142,Sandal,0.9994
1143,OOD,0.932
1144,Sandal,0.9681
1145,OOD,0.9209
1146,Sandal,0.9978
1147,OOD,0.4932
1148,OOD,0.7737
1149,Sandal,0.9989
1150,OOD,0.8845
1151,Sandal,0.9999
1152,Sandal,0.998
1153,Sandal,0.9998
1154,OOD,0.9254
1155,OOD,0.8924
1156,Sandal,0.9892
1157,OOD,0.5286
1158,Sandal,0.995
1159,OOD,0.9044
1160,OOD,0.6111
1161,Sandal,0.9996
1162,Sandal,0.992
1163,OOD,0.5626
1164,OOD,0.5868
1165,Sandal,0.9814
1166,OOD,0.9598
1167,Sandal,0.9997
1168,OOD,0.8449
1169,OOD,0.4809
1170,OOD,0.4128
1171,OOD,0.8941
1172,Sandal,1.0
1173,Sandal,0.9991
1174,OOD,0.69
1175,OOD,0.9527
1176,OOD,0.6792
1177,OOD,0.8788
1178,OOD,0.8827
1179,OOD,0.9574
1180,OOD,0.4939
1181,OOD,0.8447
1182,Sandal,0.9893
1183,Sandal,0.9908
1184,Sandal,0.9702
1185,Sandal,0.9996
1186,OOD,0.9194
1187,OOD,0.9575
1188,Sandal,0.9982
1189,OOD,0.8965
1190,OOD,0.6097
1191,OOD,0.9574
1192,Sandal,0.9999
1193,Sandal,0.9866
1194,OOD,0.9491
1195,OOD,0.686
1196,OOD,0.482
1197,OOD,0.334
1198,OOD,0.456
1199,OOD,0.6772
